Compound,p_val,padj,NCvBroc,NCvBroc_adj,NCvBrus,NCvBrus_adj,NCvCombo,NCvCombo_adj,BrocvBrus,BrocvBrus_adj,BrocvCombo,BrocvCombo_adj,BrusvCombo,BrusvCombo_adj,canopus_id,molecularFormula,adduct,most specific class,level 5,subclass,class,superclass,all classifications,Polarity
25.28_529.3655m/z,8.540366930293647e-4,0.0014694454865358188,0.002988935142543392,0.02598074393133871,0.017056143645342026,0.06022950724761403,0.017056143645342026,0.02267463802263116,0.9544113425184636,1,0.9544113425184636,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
23.74_515.2256m/z,3.501434410200291e-4,6.827797099890568e-4,7.992655661425152e-4,0.02598074393133871,0.002988935142543392,0.03752774123415592,0.009856376197431849,0.013922131378872644,0.9857232855461066,1,0.8998835057418311,1,0.9857232855461066,1,6209_PosClean_11663,C20H38N2O11S,[M + H]+,Alpha amino acids,Amino acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Polyols; Alpha amino acids; Amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Positive
27.65_575.4966m/z,1.0641627223758626e-5,5.830862380303128e-5,0.16012587652498034,0.23197723137593304,0.9544113425184635,0.9894356119686823,8.781401032942338e-5,3.00696459612874e-4,0.40237601873839646,1,0.1096113529918723,0.3538880825166181,7.992655661425152e-4,0.04515850448705211,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
25.10_848.5230m/z,1.345583626223799e-5,5.830862380303128e-5,0.6189123238082546,0.685657770493459,0.9301404011942629,0.9822978068687075,2.7412799681481026e-4,7.555235034164283e-4,0.9301404011942629,1,0.022163512723026635,0.23764750468511744,0.002988935142543392,0.08443741777685082,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
23.78_561.2322m/z,0.0045404130735477895,0.005837673951704301,0.022163512723026635,0.0963260360654619,0.046267655779403394,0.09172359829951944,0.022163512723026635,0.027521724590131975,0.9938581719122568,1,1,1,0.9938581719122568,1,6237_PosClean_11457,C36H32O6,[M + H]+,Benzenoids,NA,NA,NA,Benzenoids,Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,Positive
27.82_599.4972m/z,6.0798923896194905e-6,4.1843965269734144e-5,0.07245072458685797,0.13421199800516315,0.8998835057418313,0.9593097749889336,3.9596332453650795e-5,1.49146185575418e-4,0.30694968254062327,1,0.16012587652498034,0.43081485826959026,7.992655661425152e-4,0.04515850448705211,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
23.67_582.2982m/z,2.621909441099474e-4,6.135268092172768e-4,0.1330684955695537,0.19785184209683643,0.08950227416036027,0.15095159671821956,1.8898808100742404e-4,5.338913288459729e-4,0.9981545292779094,1,0.1909779520604794,0.5018722926240505,0.26443184156763944,0.597615961942865,6177_PosClean_12259,C28H41N5O7,[M + Na]+,Peptides,Peptides,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Benzoic acids and derivatives; Benzamides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; N-acyl-alpha amino acids; Benzenoids; Organic oxides; Hydrocarbon derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Positive
23.76_657.2162m/z,0.001092647172464157,0.0017755516552542551,0.058145131734891664,0.1288313703145639,0.00985637619743196,0.05861950054262166,0.004076062034120698,0.006874552385905244,0.9301404011942629,1,0.8224006632067871,1,0.9938581719122568,1,6228_PosClean_12348,C38H34O9,[M + Na]+,1-hydroxy-2-unsubstituted benzenoids,NA,1-hydroxy-2-unsubstituted benzenoids,Phenols,Benzenoids,Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,Positive
14.48_389.6532m/z,0.0033958451712909465,0.004619928895826055,0.05814513173489155,0.1288313703145639,0.036506166200736656,0.08594159959756754,0.002988935142543392,0.005277338611053176,0.9981545292779094,1,0.7762928334284127,1,0.8638216725696982,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.49_815.5596m/z,1.3709856576047855e-4,3.9123249253599976e-4,0.30694968254062327,0.38539237918989366,0.7263486172630789,0.8126474628784942,7.992655661425152e-4,0.0017040945089453628,0.8998835057418314,1,0.16012587652498034,0.43081485826959026,0.028563407571909227,0.18986265033092606,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
