compound,neutral_mass,mz,charge,rt,neg_12,neg_16,neg_20,neg_24,neg_28,neg_32,neg_36,neg_40,neg_44,neg_48,neg_13,neg_17,neg_21,neg_25,neg_29,neg_33,neg_37,neg_41,neg_45,neg_49,neg_14,neg_18,neg_22,neg_26,neg_30,neg_34,neg_38,neg_42,neg_46,neg_50,neg_15,neg_19,neg_23,neg_27,neg_31,neg_35,neg_39,neg_43,neg_47,neg_51
19.90_846.3824,NA,846.3824476,1,19.90255,3.730711761,24.77504362,2.05565155,24.55382185,39.9613244,22.15600721,15.42869543,33.92279937,56.0319846,6.957505686,54.78221244,39.54663356,53.35517146,36.08138585,81.57329933,69.74396452,38.01829573,111.9453985,71.11823013,93.35432615,64.04233299,41.9495952,59.46190588,29.17704193,61.90983288,40.66471376,52.49579032,71.15439043,80.15233364,85.87648082,86.14030974,68.05008877,59.61626643,38.44965873,77.16947342,92.56877488,58.9798494,89.80626357,65.95929716,88.57958325
10.86_514.6583,NA,514.6582811,1,10.86018333,160.1764149,15.65405736,19.74164013,62.82406691,135.1579307,52.23681371,29.04458867,102.4714084,50.28555503,21.80298355,76.31990889,6.342182798,7.846240845,91.13926818,58.55607713,26.41675487,8.356857769,34.40617187,61.36588137,29.27691073,83.7567081,12.34675974,16.10671259,72.38194053,23.92714766,11.79825503,11.28558765,39.94914683,47.32906384,14.61924573,29.39447507,5.402731789,1.738811004,38.3505082,22.80513222,4.983249877,4.385234913,44.8016943,31.99362997,21.65124247
7.74_386.1546,NA,386.1546402,1,7.740683333,221.2389733,9.653587867,4.320417505,0,4.524983896,10.85154879,19.97205693,13.70506666,177.047222,0.693133505,150.0875906,106.3238526,65.26768355,83.3612386,133.1928694,88.21833072,102.4128217,78.01638783,173.2654599,7.787790011,138.2671064,97.69109474,50.48071418,70.80605439,137.0349174,95.67852515,65.55443072,71.6805776,166.5313109,6.594717911,187.2715098,178.9205475,277.1481346,90.3516944,131.8367523,214.6554578,111.7382124,73.86642329,135.7775948,59.71049713
5.37_368.1932,NA,368.1932086,1,5.3713,30.46347055,0,0,0,0,0,0,0,19.62304704,0,34.22346612,0,0,23.47286017,28.57649976,0,0,0,11.86656371,0,40.03548016,0,0,24.79089204,19.00491664,0,0,3.264617031,12.1705496,0,16.9353825,2.327576814,8.301682839,27.36696667,29.53781602,9.804908196,33.27194262,0,15.42822017,15.59351749
18.38_774.2773,NA,774.2772738,1,18.37678333,8.892166966,7.432396643,4.232006769,10.79070227,6.727923708,6.14491074,13.60512823,6.43584272,5.210990013,11.87680433,0,4.608790096,4.173928007,8.260573031,3.000953318,0,0.582753644,0,2.143706996,2.887947829,4.837332287,4.572119581,3.066629177,11.4395864,0,0,7.78896088,2.248188077,5.126364979,1.759341805,3.293068811,2.693819967,1.624990815,5.954381574,0,7.865229384,0,0,2.80962769,2.656832454
20.77_743.2085,NA,743.2084936,1,20.77016667,20.21194445,0,0,0,20.93004204,0,0,4.390893701,12.34569994,0,22.97820625,29.03668651,4.576422577,0,19.50397158,29.59972912,9.681408886,20.43478069,12.96566454,21.43385449,23.93543645,29.2381763,11.18900137,1.673632645,28.04647765,26.54796241,8.655411495,26.03485084,7.071051492,21.13281011,18.5915861,11.76031939,20.39505553,1.156711118,14.12590609,22.57122628,12.65561705,28.73176968,12.11148525,29.67307798
18.00_686.2802,686.2802061,685.2995417,1,18.00031667,399.5102994,7.907700798,7.7458049430000004,0,37.91123268,58.48669127,19.00804253,103.5787017,14.794713,4.990415879,245.6546758,499.0866982,51.12120973,45.98242363,182.8779345,254.3517677,55.28646019,208.517981,34.64024954,57.52606965,292.9839887,458.2254345,28.07342941,55.74418113,210.6794274,263.0581472,70.35075579,171.694173,39.03293309,27.12537243,201.5534151,620.8809504,319.9638584,46.47878574,186.8466313,258.9270254,122.455832,180.6527628,21.99562251,114.5000057
19.20_767.4309,NA,767.430941,1,19.20491667,83.63115533,81.10000846,341.9917181,0,32.95223831,0,35.22089069,150.8357446,0,20.57824914,153.7696437,442.3406181,722.1387015,3.391402615,190.7144057,82.79911597,159.4527464,158.3293277,0,240.9179949,146.1947634,402.3614118,539.2214071,0,185.6825587,67.44772451,108.9598355,88.11417842,0,234.8004473,181.6160119,409.0556551,755.0560705,0,202.9190403,134.2051123,149.1072273,150.6959306,10.79159114,373.8828915
24.37_998.0614,998.0613655,979.0435244,1,24.36581667,381.1809168,374.0381173,400.1265338,351.4584364,540.5908519,293.3389599,318.0835651,414.5841542,315.3006151,427.656176,204.0907572,182.7587307,205.1592731,112.9443885,177.5356298,192.0655326,119.8128581,136.6761841,165.0654801,121.7975322,156.7577873,139.6678599,231.3696227,210.5269789,208.3128617,165.0410905,96.95227911,178.8659638,176.5939226,257.9348681,153.7255452,119.9541527,142.1835418,105.7166888,102.9101574,135.5962463,97.29287706,112.359314,132.3418601,100.8543563
12.47_788.2330,NA,788.2329883,1,12.4684,90.29279069,0,0,0,0,0,1.232411353,7.611965246,137.2658937,0,61.99874876,30.54149127,39.58336892,54.87902438,61.15843731,93.81265729,69.84372204,38.24721889,174.0873763,0,61.35429239,33.15385053,25.9703093,89.3342549,66.90986336,95.88407006,59.30455075,57.3895667,127.5079552,0,87.78782417,78.49322524,76.83060738,56.12635785,62.27381781,125.9857561,66.9053415,44.47171481,150.5776197,0.785906226
