compound,neutral_mass,mz,charge,rt,pos_12,pos_16,pos_20,pos_24,pos_28,pos_32,pos_36,pos_40,pos_44,pos_48,pos_13,pos_17,pos_21,pos_25,pos_29,pos_33,pos_37,pos_41,pos_45,pos_49,pos_14,pos_18,pos_22,pos_26,pos_30,pos_34,pos_38,pos_42,pos_46,pos_50,pos_15,pos_19,pos_23,pos_27,pos_31,pos_35,pos_39,pos_43,pos_47,pos_51
16.04_305.1302,NA,305.1302199,2,16.04116667,3752.373614,824.8622313,1205.46865,1325.22177,1489.339109,2386.9433,2312.610181,2550.187481,2730.426834,814.095165,4067.815654,4721.658899,4559.168425,3630.578817,3147.568353,3799.289259,3076.955318,2743.716437,2859.479136,3049.836134,3462.715725,4079.261969,4547.238599,3967.863085,3224.229927,3294.451359,3117.34191,3032.855934,3692.805759,3224.094701,3649.341488,4224.875142,4931.668418,3322.208901,3405.576782,2674.845929,2723.067119,2707.219258,2718.018973,2241.155958
21.37_765.4823,NA,765.4822666,1,21.36821667,0,0,0,0,0,0,0,585.3303008,37.85158576,0,0,97.21120306,0,0,710.311117,729.3556844,122.2420189,751.3245075,109.1919776,0,4.326016364,118.88189,0,0,841.1862763,811.9360723,221.7997647,723.3751603,63.51912099,0,0,186.3466425,52.12284405,0,677.2041712,768.5529181,474.4372069,739.0239871,64.34259718,1069.985017
17.82_213.1591,NA,213.159125,1,17.82456667,964.6411621,0,0,0,31.93559462,92.54072016,103.95401,384.448141,1542.292883,0,806.6102627,101.4612746,144.2307678,761.2296584,530.3194218,856.9679635,889.1067942,786.4316652,1279.757066,0,941.6319584,84.38577533,125.4642613,616.0344117,430.8168083,922.4990955,792.426833,913.1187897,1467.005233,0,1162.250685,187.0019501,393.3170765,541.1265797,534.1212235,931.286856,1092.248259,797.5993883,1441.987533,21.48030883
22.89_573.3000,NA,573.299996,1,22.89196667,149.5610359,163.862696,214.2829188,115.6603086,172.9288388,105.9808133,139.9514513,181.832596,164.89454,81.2296773,194.8284301,204.6051773,311.5873643,120.4125319,183.9146198,168.1032274,131.9931536,172.3883277,211.4779248,172.6034687,214.7020649,203.5273768,248.6995122,131.8444102,213.9067279,189.3890055,151.6467461,180.7562714,178.7654829,189.3058516,177.8021222,192.7613954,266.6722744,143.7942935,234.6790878,194.4853694,178.7322943,188.2170496,177.3728928,136.1136549
23.12_574.3154,NA,574.3154307,1,23.12078333,228.6265735,249.5169775,214.7717843,409.9048796,207.5560693,139.4268247,142.6578594,119.5619609,249.1103256,213.948371,240.1107835,99.57080099,54.93510806,170.8221509,65.34672838,103.168028,149.5280257,112.6629505,148.099341,89.63961289,234.2742592,107.8620983,67.59853234,166.5046982,62.92951763,91.24419909,159.0160912,138.7937053,123.5003083,32.82198489,264.8389517,117.5318315,67.83086038,151.6888717,69.96458694,105.5091703,106.3088977,159.6228895,128.5963648,37.05510906
11.76_525.3374,NA,525.3373564,1,11.75755,40.79051951,110.4415169,205.2198003,70.57693574,1461.426638,3687.271041,2949.288759,10209.38046,2828.876161,434.5162447,56.08287921,1508.512098,650.7282777,127.1790177,5953.729874,7767.925079,4675.877603,9852.463655,3607.369184,4546.05354,107.172794,1655.903382,795.9345779,77.16642236,6645.344095,7581.685433,6221.103584,9073.529193,3817.223729,4468.475876,71.04846343,1911.654757,1452.056158,55.6969653,6453.279657,8803.652766,6938.914402,10330.21106,4768.99788,9147.067138
4.37_691.7195,691.7195455,674.7162572,1,4.3706,121.9227715,126.5247323,92.78750825,269.2729577,163.6004879,124.0524981,158.1533109,83.52174848,46.62067004,189.8169309,116.1475195,92.35838275,80.43868786,191.8084109,121.1918137,90.80814872,146.4707947,76.04388064,63.97272138,171.5585144,110.8385168,74.95669553,83.67185844,160.9385245,102.9747559,84.82596418,141.857556,73.36536809,61.47637616,186.1565364,75.64586323,45.38919317,84.56193084,136.3361849,95.76425634,34.31085756,115.7724528,72.96064687,61.19779702,98.80983336
23.55_400.2344,NA,400.2344303,1,23.55293333,398.6569262,621.438829,497.7632027,825.2537397,514.5442084,687.9582368,528.7002656,3307.700156,542.8174173,629.1065248,437.0010596,267.7420289,544.7747329,547.7362518,436.5560156,396.6837981,373.1697362,2851.751567,531.4808365,461.8970036,376.9492655,313.0228021,545.6060149,605.8041607,378.1285228,357.760961,359.6420667,2908.679378,517.4667798,375.413993,498.9312602,304.4298555,290.3107515,582.565737,359.3113746,450.3876662,408.4320604,2884.483254,499.2435936,453.2878265
5.32_347.1556,NA,347.1555697,1,5.317883333,565.878522,166.5881211,494.6521652,244.2739714,364.3466788,357.5763117,311.767631,395.0130863,625.903909,253.4252346,456.2412012,502.17565,693.1993604,473.7184501,444.099491,585.7807319,611.6743045,536.0148951,642.299097,327.2223083,436.7781246,487.3771434,590.6971017,495.3200745,380.2888692,591.2684812,575.8023009,582.5909895,608.5072673,272.4977676,601.891605,623.3290744,690.5343834,565.9948388,442.5838526,661.2535153,582.0477844,617.8064951,565.8997438,458.4144345
23.24_733.3832,NA,733.3831528,2,23.23595,19.61358987,884.2173629,34.44702819,0,464.1598941,3.100498292,128.9813836,137.4705308,24.28203126,118.110902,387.0001644,1561.641369,136.456189,12.16835807,608.3262642,275.7706527,448.5049453,322.8818994,4.533394381,187.6924407,418.0898694,1657.780551,237.5080592,2.442161841,692.8376624,267.9200129,570.9880917,311.9347531,26.17360286,212.3781112,435.12794,1749.796512,303.5459821,26.6761326,678.986408,229.6205739,521.4944304,295.7973661,48.3957498,290.0050381
